Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,Nytårsdag,New Year's Day,DK,True,True,,Public,
2019-04-18,Skærtorsdag,Maundy Thursday,DK,False,True,,Public,
2019-04-19,Langfredag,Good Friday,DK,False,True,,Public,
2019-04-21,Påskedag,Easter Sunday,DK,False,True,,Public,
2019-04-22,2. Påskedag,Easter Monday,DK,False,True,,Public,
2019-05-17,Store bededag,General Prayer Day,DK,False,True,,Public,
2019-05-30,Kristi Himmelfartsdag,Ascension Day,DK,False,True,,Public,
2019-05-31,Banklukkedag,Bank closing day,DK,False,True,,"Bank, School, Optional",
2019-06-05,Grundlovsdag,Constitution Day,DK,True,True,,"Bank, School, Optional",
2019-06-09,Pinsedag,Pentecost,DK,False,True,,Public,
2019-06-10,2. Pinsedag,Whit Monday,DK,False,True,,Public,
2019-12-24,Juleaftensdag,Christmas Eve,DK,True,True,,"Bank, School, Optional",
2019-12-25,Juledag / 1. juledag,Christmas Day,DK,True,True,,Public,
2019-12-26,2. juledag,St. Stephen's Day,DK,True,True,,Public,
2019-12-31,Nytårsaftensdag,New Year's Eve,DK,True,True,,"Bank, School, Optional",
