Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2016-01-01,Nytårsdag,New Year's Day,DK,True,True,,Public,
2016-03-24,Skærtorsdag,Maundy Thursday,DK,False,True,,Public,
2016-03-25,Langfredag,Good Friday,DK,False,True,,Public,
2016-03-27,Påskedag,Easter Sunday,DK,False,True,,Public,
2016-03-28,2. Påskedag,Easter Monday,DK,False,True,,Public,
2016-04-22,Store bededag,General Prayer Day,DK,False,True,,Public,
2016-05-05,Kristi Himmelfartsdag,Ascension Day,DK,False,True,,Public,
2016-05-06,Banklukkedag,Bank closing day,DK,False,True,,"Bank, School, Optional",
2016-05-15,Pinsedag,Pentecost,DK,False,True,,Public,
2016-05-16,2. Pinsedag,Whit Monday,DK,False,True,,Public,
2016-06-05,Grundlovsdag,Constitution Day,DK,True,True,,"Bank, School, Optional",
2016-12-24,Juleaftensdag,Christmas Eve,DK,True,True,,"Bank, School, Optional",
2016-12-25,Juledag / 1. juledag,Christmas Day,DK,True,True,,Public,
2016-12-26,2. juledag,St. Stephen's Day,DK,True,True,,Public,
2016-12-31,Nytårsaftensdag,New Year's Eve,DK,True,True,,"Bank, School, Optional",
