Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,Nytårsdag,New Year's Day,DK,True,True,,Public,
2024-03-28,Skærtorsdag,Maundy Thursday,DK,False,True,,Public,
2024-03-29,Langfredag,Good Friday,DK,False,True,,Public,
2024-03-31,Påskedag,Easter Sunday,DK,False,True,,Public,
2024-04-01,2. Påskedag,Easter Monday,DK,False,True,,Public,
2024-05-09,Kristi Himmelfartsdag,Ascension Day,DK,False,True,,Public,
2024-05-10,Banklukkedag,Bank closing day,DK,False,True,,"Bank, School, Optional",
2024-05-19,Pinsedag,Pentecost,DK,False,True,,Public,
2024-05-20,2. Pinsedag,Whit Monday,DK,False,True,,Public,
2024-06-05,Grundlovsdag,Constitution Day,DK,True,True,,"Bank, School, Optional",
2024-12-24,Juleaftensdag,Christmas Eve,DK,True,True,,"Bank, School, Optional",
2024-12-25,Juledag / 1. juledag,Christmas Day,DK,True,True,,Public,
2024-12-26,2. juledag,St. Stephen's Day,DK,True,True,,Public,
2024-12-31,Nytårsaftensdag,New Year's Eve,DK,True,True,,"Bank, School, Optional",
