Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,Nytårsdag,New Year's Day,DK,True,True,,Public,
2023-04-06,Skærtorsdag,Maundy Thursday,DK,False,True,,Public,
2023-04-07,Langfredag,Good Friday,DK,False,True,,Public,
2023-04-09,Påskedag,Easter Sunday,DK,False,True,,Public,
2023-04-10,2. Påskedag,Easter Monday,DK,False,True,,Public,
2023-05-05,Store bededag,General Prayer Day,DK,False,True,,Public,
2023-05-18,Kristi Himmelfartsdag,Ascension Day,DK,False,True,,Public,
2023-05-19,Banklukkedag,Bank closing day,DK,False,True,,"Bank, School, Optional",
2023-05-28,Pinsedag,Pentecost,DK,False,True,,Public,
2023-05-29,2. Pinsedag,Whit Monday,DK,False,True,,Public,
2023-06-05,Grundlovsdag,Constitution Day,DK,True,True,,"Bank, School, Optional",
2023-12-24,Juleaftensdag,Christmas Eve,DK,True,True,,"Bank, School, Optional",
2023-12-25,Juledag / 1. juledag,Christmas Day,DK,True,True,,Public,
2023-12-26,2. juledag,St. Stephen's Day,DK,True,True,,Public,
2023-12-31,Nytårsaftensdag,New Year's Eve,DK,True,True,,"Bank, School, Optional",
