Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2014-01-01,Nytårsdag,New Year's Day,DK,True,True,,Public,
2014-04-17,Skærtorsdag,Maundy Thursday,DK,False,True,,Public,
2014-04-18,Langfredag,Good Friday,DK,False,True,,Public,
2014-04-20,Påskedag,Easter Sunday,DK,False,True,,Public,
2014-04-21,2. Påskedag,Easter Monday,DK,False,True,,Public,
2014-05-16,Store bededag,General Prayer Day,DK,False,True,,Public,
2014-05-29,Kristi Himmelfartsdag,Ascension Day,DK,False,True,,Public,
2014-05-30,Banklukkedag,Bank closing day,DK,False,True,,"Bank, School, Optional",
2014-06-05,Grundlovsdag,Constitution Day,DK,True,True,,"Bank, School, Optional",
2014-06-08,Pinsedag,Pentecost,DK,False,True,,Public,
2014-06-09,2. Pinsedag,Whit Monday,DK,False,True,,Public,
2014-12-24,Juleaftensdag,Christmas Eve,DK,True,True,,"Bank, School, Optional",
2014-12-25,Juledag / 1. juledag,Christmas Day,DK,True,True,,Public,
2014-12-26,2. juledag,St. Stephen's Day,DK,True,True,,Public,
2014-12-31,Nytårsaftensdag,New Year's Eve,DK,True,True,,"Bank, School, Optional",
