Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,Nytårsdag,New Year's Day,DK,True,True,,Public,
2020-04-09,Skærtorsdag,Maundy Thursday,DK,False,True,,Public,
2020-04-10,Langfredag,Good Friday,DK,False,True,,Public,
2020-04-12,Påskedag,Easter Sunday,DK,False,True,,Public,
2020-04-13,2. Påskedag,Easter Monday,DK,False,True,,Public,
2020-05-08,Store bededag,General Prayer Day,DK,False,True,,Public,
2020-05-21,Kristi Himmelfartsdag,Ascension Day,DK,False,True,,Public,
2020-05-22,Banklukkedag,Bank closing day,DK,False,True,,"Bank, School, Optional",
2020-05-31,Pinsedag,Pentecost,DK,False,True,,Public,
2020-06-01,2. Pinsedag,Whit Monday,DK,False,True,,Public,
2020-06-05,Grundlovsdag,Constitution Day,DK,True,True,,"Bank, School, Optional",
2020-12-24,Juleaftensdag,Christmas Eve,DK,True,True,,"Bank, School, Optional",
2020-12-25,Juledag / 1. juledag,Christmas Day,DK,True,True,,Public,
2020-12-26,2. juledag,St. Stephen's Day,DK,True,True,,Public,
2020-12-31,Nytårsaftensdag,New Year's Eve,DK,True,True,,"Bank, School, Optional",
