Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2018-01-01,Nytårsdag,New Year's Day,DK,True,True,,Public,
2018-03-29,Skærtorsdag,Maundy Thursday,DK,False,True,,Public,
2018-03-30,Langfredag,Good Friday,DK,False,True,,Public,
2018-04-01,Påskedag,Easter Sunday,DK,False,True,,Public,
2018-04-02,2. Påskedag,Easter Monday,DK,False,True,,Public,
2018-04-27,Store bededag,General Prayer Day,DK,False,True,,Public,
2018-05-10,Kristi Himmelfartsdag,Ascension Day,DK,False,True,,Public,
2018-05-11,Banklukkedag,Bank closing day,DK,False,True,,"Bank, School, Optional",
2018-05-20,Pinsedag,Pentecost,DK,False,True,,Public,
2018-05-21,2. Pinsedag,Whit Monday,DK,False,True,,Public,
2018-06-05,Grundlovsdag,Constitution Day,DK,True,True,,"Bank, School, Optional",
2018-12-24,Juleaftensdag,Christmas Eve,DK,True,True,,"Bank, School, Optional",
2018-12-25,Juledag / 1. juledag,Christmas Day,DK,True,True,,Public,
2018-12-26,2. juledag,St. Stephen's Day,DK,True,True,,Public,
2018-12-31,Nytårsaftensdag,New Year's Eve,DK,True,True,,"Bank, School, Optional",
